nombre,tipo,caracteristicas,detalles,imagen,web_link,categoria,descripcion
"Geomembranas Poliméricas (HDPE, LLDPE)","Sistemas Avanzados de Impermeabilización","Revestimientos sintéticos de muy baja permeabilidad, alta resistencia química (ácidos, álcalis, solventes) y UV, durabilidad (50+ años). Disponibles en varios espesores (1.0-3.0 mm) y texturas para estabilidad en taludes. [1, 2]","La selección del espesor (típicamente 1.5-2.5 mm para barreras primarias [3]) depende de la carga, sustrato y química de relaves. Aditivos mejoran resistencia UV y oxidación. La calidad de instalación y soldaduras es crucial. Solmax GSE HD excede GRI-GM13..[1, 2, 4] Aptas hasta 60°C; para mayores temperaturas, se requieren alternativas (GSE HDH).[3] Aunque efectivas solas, la tendencia es hacia sistemas compuestos con GCLs para mayor seguridad, especialmente en TSFs de alto riesgo, ofreciendo redundancia..[3, 5] La compatibilidad química es vital y requiere caracterización detallada de relaves y pruebas de inmersión para ambientes agresivos..[2, 3, 4] El costo inicial debe evaluarse frente al costo del ciclo de vida y la reducción de riesgos..[6, 2]","Rollos de geomembrana HDPE y sección de TSF con revestimiento.","[bpmgeomembrane.com](https://www.bpmgeomembrane.com), [solmax.com](https://www.solmax.com), [atarfil.com](https://www.atarfil.com), [agruamerica.com](https://www.agruamerica.com), [bpmgeosynthetics.com](https://www.bpmgeosynthetics.com)","Prevención y Control en la Fuente","Barreras sintéticas impermeables para contener lixiviados de relaves y prevenir la contaminación del subsuelo."
"Revestimientos de Arcilla Geosintética (GCLs)","Sistemas Avanzados de Impermeabilización","Compuestos de bentonita de sodio (alta capacidad de hinchamiento, baja permeabilidad) entre dos geotextiles. Autosellantes y autoreparantes. [7, 8]","La bentonita en polvo asegura hidratación y sellado. Variedades con recubrimiento de PE (e.g., Bentofix® X Series) mejoran resistencia a desecación, intercambio iónico, gases y erosión; previenen tuberización y actúan como barrera de raíces..[7, 9] Alternativa económica y de rápida instalación a arcillas compactadas. Bentofix® X ofrece dos barreras de sellado..[7, 8, 9] La combinación con geomembranas en sistemas compuestos es una práctica creciente para maximizar la seguridad..[5]","Diagrama de GCL (capas de geotextil y bentonita) y variante con recubrimiento PE.","[globalsynthetics.com.au](https://globalsynthetics.com.au), [titanenviro.com](https://www.titanenviro.com), [naue.com](https://www.naue.com), [geoquest-group.com.au](https://www.geoquest-group.com.au), [texofib.com](https://www.texofib.com)","Prevención y Control en la Fuente","Barreras compuestas de bentonita y geotextiles para impermeabilizar depósitos de relaves, con capacidad de autosellado."
"Revestimientos Compuestos (Geomembrana + GCL/Arcilla Compactada)","Sistemas Avanzados de Impermeabilización","Combinación de geomembranas con GCLs o capas de arcilla compactada (CCL) para un sistema de barrera redundante y robusto. [5]","Aprovechan ventajas de ambos materiales: muy baja permeabilidad y mayor resistencia a daños. Sistemas de un solo compuesto (geomembrana sobre suelo compactado) para baja carga hidráulica..[3] Investigación en transmisividad de interfaz GCL-HDPE para compatibilidad..[5] Considerados el estándar de oro para TSFs de alto riesgo por su redundancia y seguridad mejorada contra infiltración..[3, 5]","Esquema de revestimiento compuesto (geomembrana sobre GCL o CCL).","(Inferido de fuentes de geomembranas y GCLs)","Prevención y Control en la Fuente","Sistemas de impermeabilización multicapa que combinan las propiedades de las geomembranas y las arcillas (naturales o geosintéticas) para una máxima contención."
"Relaves Espesados y en Pasta (Thickened and Paste Tailings)","Métodos de Deshidratación de Relaves y Disposición Alternativa","Aumento de la densidad de sólidos. Espesados: lodo denso. Pasta: material no segregante, mínima agua, no fluye fácilmente. [10, 11, 12, 13, 14, 15]","Espesadores (Metso, FLSmidth) recuperan agua (hasta 70% [15]) antes de deposición..[12, 14, 15] Pasta puede bombearse o usarse en relleno subterráneo (backfill) con cemento..[11, 12, 15] Disposición en superficie: Descarga Central Espesada (CTD) o Descarga en Valle (DV)..[13, 16] Beneficios: menor huella TSF, menor riesgo falla (menos agua libre), menor infiltración, recuperación agua, menor altura terraplenes, mejor estabilidad sísmica, fácil cierre..[10, 11, 12, 13] Metso y FLSmidth proveen soluciones. La reducción de agua es un paradigma dominante para mitigar riesgos..[17, 12]","Diagrama de sistema CTD o planta de pasta Metso.","[metso.com](https://www.metso.com), [atcwilliams.com](https://www.atcwilliams.com), [geotails.com.au](https://www.geotails.com.au), [ketos.co](https://www.ketos.co), [flsmidth.com](https://flsmidth.com)","Prevención y Control en la Fuente","Tecnologías para reducir el contenido de agua en los relaves antes de su disposición, mejorando la estabilidad y reduciendo la infiltración."
"Co-disposición de Relaves y Estériles de Mina (Co-disposal)","Métodos de Deshidratación de Relaves y Disposición Alternativa","Mezcla de relaves finos con roca estéril gruesa para un solo flujo de residuos. Mejora estabilidad geotécnica y geoquímica. [11, 22, 23, 24]","Incrementa estabilidad física (resistencia al corte, reduce licuefacción) y química (limita O2 y agua, reduce DRAM si relaves saturan vacíos)..[23, 24] Métodos: bombeo conjunto, roca en pasta, capas, inyección..[23, 25] FLSmidth EcoTails® es una forma..[21] SRK Consulting destaca beneficios..[24] Ventajas: evita costos presa, ahorra espacio, reduce costos cierre..[23] Desafíos: control mezcla, logística, posible nivel freático elevado..[23] Solución sinérgica para residuos múltiples, optimizando espacio y estabilidad..[21, 23, 24]","Diagrama de métodos de co-disposición o GeoWaste™ de FLSmidth.","[mineclosure.gtk.fi](https://mineclosure.gtk.fi), [geotails.com.au](https://www.geotails.com.au), [mdpi.com](https://www.mdpi.com), [srk.com](https://www.srk.com), [tailings.info](https://www.tailings.info)","Prevención y Control en la Fuente","Técnica que combina relaves y roca estéril para mejorar la estabilidad física y química del depósito de residuos."
"Cortinas de Inyección (Grout Curtains)","Barreras Subterráneas (Cutoff Walls)","Barreras impermeables creadas inyectando lechada (cemento, bentonita, poliuretano) en el subsuelo para sellar fracturas/poros. [34, 37, 38, 39]","Poliuretano (Terra-Lok™, Terrathane™ de NCFI) crea sello hermético para presas, túneles, contención ambiental..[37, 38] Se inyecta y expande formando barrera continua..[39] Instalación no invasiva, duradera..[39] Usadas en infraestructura crítica, control agua subterránea, contención contaminantes..[37, 38] La longevidad y mantenimiento son factores críticos a considerar.","Ilustración de inyección de lechada bajo una presa.","[barwellsolutions.com](https://www.barwellsolutions.com), [researchgate.net](https://www.researchgate.net), [groundworks.com](https://www.groundworks.com), [ncfigeo.com](https://www.ncfigeo.com)","Contención e Intercepción","Barreras formadas por la inyección de materiales sellantes en el subsuelo para reducir su permeabilidad y controlar el flujo de contaminantes."
"Bombeo para Control de Gradiente Hidráulico","Contención Hidráulica (Hydraulic Containment)","Utiliza bombeo de agua subterránea (pozos o trincheras/drenes de intercepción) para controlar el gradiente hidráulico y la migración de contaminantes. [40]","Pozos de bombeo crean cono de depresión que atrae pluma. Trincheras interceptan flujo somero; agua bombeada se trata/dispone..[40] Requiere conocimiento hidrogeológico detallado (modelado), a menudo escala piloto inicial..[40] Agua extraída debe ser tratada (ver P&T)..[40, 41, 42] Es un control activo con consumo energético y tratamiento continuo..[40, 41] Requiere diseño dinámico y adaptativo..[40]","Diagrama de sistema de bombeo y tratamiento para contención de pluma.","[gost.tpsgc-pwgsc.gc.ca](https://gost.tpsgc-pwgsc.gc.ca)","Contención e Intercepción","Sistema que utiliza pozos de bombeo para extraer agua subterránea contaminada, creando una barrera hidráulica que previene la expansión de la pluma."
"Barreras Reactivas Permeables (PRBs)","Métodos de Tratamiento In-Situ","Zonas de tratamiento in-situ que capturan pasivamente pluma de contaminantes y los eliminan/descomponen. Permiten flujo de agua a través de medio reactivo. [43, 44, 45]","Materiales: ZVI (metales pesados Cr, As, U; solventes clorados) [43, 45, 46]; compost/orgánico y caliza (AMD, sulfatos, promueve SRB).[44, 45, 46] Otros: zeolitas, apatita. Ventajas: costos reducidos, bajo consumo energía..[44] Limitaciones: clogging, armouring, longevidad incierta..[44] Hepure Ferox PRB® ZVI..[47] Geo-Solutions (ZVI PRBs)..[48] Muchos sistemas dependen de la sinergia entre procesos abióticos y bióticos..[44, 46, 49]","Diagrama de PRB (zanja continua o funnel-and-gate).","[en.wikipedia.org](https://en.wikipedia.org), [core.ac.uk](https://core.ac.uk), [clu-in.org](https://clu-in.org), [researchgate.net](https://www.researchgate.net), [hepure.com](https://www.hepure.com), [geo-solutions.com](https://www.geo-solutions.com)","Remediación In-Situ","Zanjas o zonas subterráneas rellenadas con materiales reactivos que tratan el agua contaminada a medida que fluye a través de ellas."
"Oxidación Química In-Situ (ISCO)","Métodos de Tratamiento In-Situ","Inyección de oxidantes químicos fuertes (permanganato, persulfato, H2O2 catalizado, ozono) para destruir contaminantes orgánicos. [50, 51]","Efectiva para solventes clorados, fenoles, PAHs, TPHs, algunos explosivos..[51] Elección de oxidante depende de contaminante/sitio. Carus RemOx® S/L..[51] Desafíos: distribución uniforme, NOD, seguridad..[50, 51] Puede requerir múltiples inyecciones..[50, 51]","Esquema de inyección de oxidantes en pluma de contaminación.","[serdp-estcp.mil](https://serdp-estcp.mil), [carusllc.com](https://www.carusllc.com)","Remediación In-Situ","Técnica que introduce oxidantes químicos en el subsuelo para degradar contaminantes orgánicos."
"Reducción Química In-Situ (ISCR)","Métodos de Tratamiento In-Situ","Colocación de material reductor para degradar orgánicos tóxicos, inmovilizar metales (Cr(VI)) y degradar oxianiones. [49, 52]","Reductores: ZVI, hierro ferroso, ditionito de sodio, sales de sulfuro (polisulfuro de calcio)..[49, 52] ISRM: usa reductores para activar hierro nativo..[49] Polisulfuro de Ca precipita cationes como sulfuros..[52] Combinación con enmiendas biológicas es efectiva..[49] Evaluar estabilidad metales precipitados..[52]","Diagrama de inyección de agente reductor.","[clu-in.org](https://clu-in.org), [enviro.wiki](https://www.enviro.wiki)","Remediación In-Situ","Técnica que introduce agentes reductores en el subsuelo para transformar contaminantes a formas menos tóxicas o inmóviles."
